[20:02:06.470] [INFO   ] thread bguspl.set.Main.main() starting.
[20:02:06.483] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:02:06.492] [SEVERE ] configuration file was loaded from resources directory.
[20:02:07.951] [INFO   ] thread dealer starting.
[20:02:07.952] [INFO   ] thread dealer starting.
[20:02:07.952] [INFO   ] thread player 0 starting.
[20:02:07.953] [INFO   ] thread player 1 starting.
[20:02:07.953] [INFO   ] thread player 0 starting.
[20:02:07.954] [INFO   ] thread player 1 starting.
[20:02:08.060] [SEVERE ] placing card 0 in slot 0
[20:02:08.162] [SEVERE ] placing card 1 in slot 1
[20:02:08.263] [SEVERE ] placing card 2 in slot 2
[20:02:08.365] [SEVERE ] placing card 3 in slot 3
[20:02:08.466] [SEVERE ] placing card 4 in slot 4
[20:02:08.568] [SEVERE ] placing card 5 in slot 5
[20:02:08.669] [SEVERE ] placing card 6 in slot 6
[20:02:08.770] [SEVERE ] placing card 7 in slot 7
[20:02:08.871] [SEVERE ] placing card 8 in slot 8
[20:02:08.973] [SEVERE ] placing card 9 in slot 9
[20:02:09.074] [SEVERE ] placing card 10 in slot 10
[20:02:09.175] [SEVERE ] placing card 11 in slot 11
[20:02:09.186] [SEVERE ] updating countdown to 58757
[20:02:09.199] [SEVERE ] updating countdown to 58744
[20:02:09.210] [SEVERE ] updating countdown to 58733
[20:02:09.221] [SEVERE ] updating countdown to 58722
[20:02:09.231] [SEVERE ] updating countdown to 58712
[20:02:09.242] [SEVERE ] updating countdown to 58701
[20:02:09.253] [SEVERE ] updating countdown to 58690
[20:02:09.264] [SEVERE ] updating countdown to 58679
[20:02:09.275] [SEVERE ] updating countdown to 58668
[20:02:09.286] [SEVERE ] updating countdown to 58657
[20:02:09.296] [SEVERE ] updating countdown to 58647
[20:02:09.307] [SEVERE ] updating countdown to 58636
[20:02:09.318] [SEVERE ] updating countdown to 58625
[20:02:09.329] [SEVERE ] updating countdown to 58614
[20:02:09.340] [SEVERE ] updating countdown to 58603
[20:02:09.351] [SEVERE ] updating countdown to 58592
[20:02:09.362] [SEVERE ] updating countdown to 58581
[20:02:09.372] [SEVERE ] updating countdown to 58571
[20:02:09.384] [SEVERE ] updating countdown to 58559
[20:02:09.394] [SEVERE ] updating countdown to 58549
[20:02:09.405] [SEVERE ] updating countdown to 58538
[20:02:09.416] [SEVERE ] updating countdown to 58527
[20:02:09.427] [SEVERE ] updating countdown to 58516
[20:02:09.438] [SEVERE ] updating countdown to 58505
[20:02:09.449] [SEVERE ] updating countdown to 58494
[20:02:09.460] [SEVERE ] updating countdown to 58483
[20:02:09.471] [SEVERE ] updating countdown to 58472
[20:02:09.481] [SEVERE ] updating countdown to 58462
[20:02:09.492] [SEVERE ] updating countdown to 58451
[20:02:09.505] [SEVERE ] updating countdown to 58438
[20:02:09.516] [SEVERE ] updating countdown to 58427
[20:02:09.527] [SEVERE ] updating countdown to 58416
[20:02:09.538] [SEVERE ] updating countdown to 58405
[20:02:09.548] [SEVERE ] updating countdown to 58395
[20:02:09.559] [SEVERE ] updating countdown to 58384
[20:02:09.576] [SEVERE ] updating countdown to 58367
[20:02:09.587] [SEVERE ] updating countdown to 58356
[20:02:09.598] [SEVERE ] updating countdown to 58345
[20:02:09.610] [SEVERE ] updating countdown to 58333
[20:02:09.621] [SEVERE ] updating countdown to 58322
[20:02:09.633] [SEVERE ] updating countdown to 58310
[20:02:09.644] [SEVERE ] updating countdown to 58299
[20:02:09.656] [SEVERE ] updating countdown to 58287
[20:02:09.667] [SEVERE ] updating countdown to 58276
[20:02:09.679] [SEVERE ] updating countdown to 58264
[20:02:09.691] [SEVERE ] updating countdown to 58252
[20:02:09.781] [SEVERE ] updating countdown to 58163
[20:02:09.793] [SEVERE ] updating countdown to 58150
[20:02:09.805] [SEVERE ] updating countdown to 58138
[20:02:09.816] [SEVERE ] updating countdown to 58127
[20:02:09.828] [SEVERE ] updating countdown to 58115
[20:02:09.840] [SEVERE ] updating countdown to 58103
[20:02:09.852] [SEVERE ] updating countdown to 58092
[20:02:09.863] [SEVERE ] updating countdown to 58080
[20:02:09.874] [SEVERE ] updating countdown to 58069
[20:02:09.885] [SEVERE ] updating countdown to 58058
[20:02:09.897] [SEVERE ] updating countdown to 58046
[20:02:09.908] [SEVERE ] updating countdown to 58035
[20:02:09.919] [SEVERE ] updating countdown to 58024
[20:02:09.931] [SEVERE ] updating countdown to 58012
[20:02:09.943] [SEVERE ] updating countdown to 58000
[20:02:09.955] [SEVERE ] updating countdown to 57988
[20:02:09.967] [SEVERE ] updating countdown to 57976
[20:02:09.978] [SEVERE ] updating countdown to 57965
[20:02:09.989] [SEVERE ] updating countdown to 57954
[20:02:10.000] [SEVERE ] updating countdown to 57943
[20:02:10.011] [SEVERE ] updating countdown to 57932
[20:02:10.022] [SEVERE ] updating countdown to 57921
[20:02:10.032] [SEVERE ] updating countdown to 57911
[20:02:10.046] [SEVERE ] updating countdown to 57898
[20:02:10.059] [SEVERE ] updating countdown to 57884
[20:02:10.070] [SEVERE ] updating countdown to 57873
[20:02:10.080] [SEVERE ] updating countdown to 57863
[20:02:10.091] [SEVERE ] updating countdown to 57852
[20:02:10.102] [SEVERE ] updating countdown to 57841
[20:02:10.113] [SEVERE ] updating countdown to 57830
[20:02:10.123] [SEVERE ] updating countdown to 57820
[20:02:10.134] [SEVERE ] updating countdown to 57809
[20:02:10.145] [SEVERE ] updating countdown to 57798
[20:02:10.156] [SEVERE ] updating countdown to 57787
[20:02:10.167] [SEVERE ] updating countdown to 57776
[20:02:10.177] [SEVERE ] updating countdown to 57766
[20:02:10.188] [SEVERE ] updating countdown to 57755
