[16:03:50.085] [INFO   ] thread bguspl.set.Main.main() starting.
[16:03:50.097] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:03:50.105] [SEVERE ] configuration file was loaded from resources directory.
[16:03:51.594] [INFO   ] thread dealer starting.
[16:03:51.595] [INFO   ] thread dealer starting.
[16:03:51.596] [INFO   ] thread player 0 starting.
[16:03:51.597] [INFO   ] thread player 0 starting.
[16:03:51.598] [INFO   ] thread computer-0 starting.
[16:03:51.699] [SEVERE ] placing card 0 in slot 0
[16:03:51.699] [SEVERE ] player 1 placing token on slot 0
[16:03:51.702] [SEVERE ] removing player 1 token from slot 0
[16:03:51.703] [SEVERE ] player 1 placing token on slot 0
[16:03:51.705] [SEVERE ] removing player 1 token from slot 0
[16:03:51.706] [SEVERE ] player 1 placing token on slot 0
[16:03:51.710] [SEVERE ] removing player 1 token from slot 0
[16:03:51.718] [SEVERE ] player 1 placing token on slot 0
[16:03:51.721] [SEVERE ] removing player 1 token from slot 0
[16:03:51.724] [SEVERE ] player 1 placing token on slot 0
[16:03:51.727] [SEVERE ] removing player 1 token from slot 0
[16:03:51.728] [SEVERE ] player 1 placing token on slot 0
[16:03:51.729] [SEVERE ] removing player 1 token from slot 0
[16:03:51.731] [SEVERE ] player 1 placing token on slot 0
[16:03:51.731] [SEVERE ] removing player 1 token from slot 0
[16:03:51.733] [SEVERE ] player 1 placing token on slot 0
[16:03:51.735] [SEVERE ] removing player 1 token from slot 0
[16:03:51.736] [SEVERE ] player 1 placing token on slot 0
[16:03:51.737] [SEVERE ] removing player 1 token from slot 0
[16:03:51.739] [SEVERE ] player 1 placing token on slot 0
[16:03:51.744] [SEVERE ] removing player 1 token from slot 0
[16:03:51.745] [SEVERE ] player 1 placing token on slot 0
[16:03:51.747] [SEVERE ] removing player 1 token from slot 0
[16:03:51.749] [SEVERE ] player 1 placing token on slot 0
[16:03:51.750] [SEVERE ] removing player 1 token from slot 0
[16:03:51.751] [SEVERE ] player 1 placing token on slot 0
[16:03:51.755] [SEVERE ] removing player 1 token from slot 0
[16:03:51.759] [SEVERE ] player 1 placing token on slot 0
[16:03:51.765] [SEVERE ] removing player 1 token from slot 0
[16:03:51.767] [SEVERE ] player 1 placing token on slot 0
[16:03:51.768] [SEVERE ] removing player 1 token from slot 0
[16:03:51.770] [SEVERE ] player 1 placing token on slot 0
[16:03:51.772] [SEVERE ] removing player 1 token from slot 0
[16:03:51.772] [SEVERE ] player 1 placing token on slot 0
[16:03:51.774] [SEVERE ] removing player 1 token from slot 0
[16:03:51.777] [SEVERE ] player 1 placing token on slot 0
[16:03:51.779] [SEVERE ] removing player 1 token from slot 0
[16:03:51.781] [SEVERE ] player 1 placing token on slot 0
[16:03:51.782] [SEVERE ] removing player 1 token from slot 0
[16:03:51.783] [SEVERE ] player 1 placing token on slot 0
[16:03:51.786] [SEVERE ] removing player 1 token from slot 0
[16:03:51.788] [SEVERE ] player 1 placing token on slot 0
[16:03:51.790] [SEVERE ] removing player 1 token from slot 0
[16:03:51.793] [SEVERE ] player 1 placing token on slot 0
[16:03:51.796] [SEVERE ] removing player 1 token from slot 0
[16:03:51.798] [SEVERE ] player 1 placing token on slot 0
[16:03:51.799] [SEVERE ] removing player 1 token from slot 0
[16:03:51.800] [SEVERE ] player 1 placing token on slot 0
[16:03:51.800] [SEVERE ] placing card 1 in slot 1
[16:03:51.801] [SEVERE ] player 1 placing token on slot 1
[16:03:51.803] [SEVERE ] removing player 1 token from slot 0
[16:03:51.804] [SEVERE ] player 1 placing token on slot 0
[16:03:51.805] [SEVERE ] removing player 1 token from slot 0
[16:03:51.807] [SEVERE ] player 1 placing token on slot 0
[16:03:51.810] [SEVERE ] removing player 1 token from slot 1
